key,french_reference,english_reference,translation
nav.contact,Contact,Contact,
home.news.title,Actualités & Innovations,,
home.news.subtitle,Restez informé des dernières tendances et innovations en agriculture,,
home.news.view_all,Voir toutes les actualités,,
home.seeds.title,Semences de Qualité,,
home.seeds.subtitle,Découvrez notre collection de semences certifiées pour des rendements optimaux,,
home.seeds.view_all,Voir toutes les semences,,
home.shop.title,Boutique Agritech,,
home.shop.subtitle,"Équipements, outils et technologies pour moderniser votre agriculture",,
home.shop.view_all,Voir tous les produits,,
home.stats.title,Nos Réalisations,,
home.stats.subtitle,Des chiffres qui témoignent de notre impact positif sur l'agriculture,,
home.stats.farmers,Agriculteurs,,
home.stats.farmers_desc,Agriculteurs accompagnés,,
home.stats.yield,Rendement,,
home.stats.yield_desc,Augmentation des rendements,,
home.stats.cost,Économies,,
home.stats.cost_desc,Réduction des coûts,,
home.stats.experts,Experts,,
home.stats.experts_desc,Agronomes experts,,
home.stats.countries,Pays,,
home.stats.countries_desc,Pays d'intervention,,
home.stats.savings,Économies,,
home.stats.savings_desc,Économies générées,,
shop.cat.all,Tous,,
shop.cat.seeds,Semences,,
shop.cat.fertilizers,Engrais,,
shop.cat.tools,Outils,,
shop.cat.tech,Technologies,,
form.country,Pays,,
form.select.country,Sélectionnez votre pays,,
hero.subtitle,L'avenir de l'agriculture intelligente,The future of smart agriculture,
hero.desc,"Révolutionnons l'agriculture avec des solutions technologiques innovantes. Optimisez vos rendements, réduisez vos coûts et cultivez durablement.","We revolutionize agriculture with innovative technology. Increase yields, cut costs, and farm sustainably.",
hero.cta.solutions,Découvrir nos solutions,Discover our solutions,
hero.cta.demo,Voir la démo,Watch demo,
hero.stat.farmers,Agriculteurs connectés,Connected farmers,
hero.stat.yield,Augmentation des rendements,Yield increase,
hero.stat.cost,Réduction des coûts,Cost reduction,
services.title,Nos Solutions Innovantes,Our Innovative Solutions,
services.subtitle,Découvrez notre écosystème technologique complet conçu pour transformer votre agriculture et maximiser vos performances tout en respectant l'environnement.,Discover our complete technology ecosystem designed to transform your farming and maximize performance while respecting the environment.,
services.hero.title,Technologie de pointe au service de l'agriculture,Cutting‑edge tech serving agriculture,
services.hero.desc,"Des capteurs IoT aux analyses prédictives, notre plateforme intègre les dernières innovations.","From IoT sensors to predictive analytics, our platform integrates the latest innovations.",
services.cta,Demander une démonstration,Request a demo,
