key,french_reference,english_reference,translation
nav.contact,Contact,Contact,
header.login,Se connecter,Sign in,
header.logout,Déconnexion,Sign out,
home.news.title,Actualités & Innovations,,
home.news.subtitle,Restez informé des dernières tendances et innovations en agriculture,,
home.news.view_all,Voir toutes les actualités,,
home.seeds.title,Semences de Qualité,,
home.seeds.subtitle,Découvrez notre collection de semences certifiées pour des rendements optimaux,,
home.seeds.view_all,Voir toutes les semences,,
home.shop.title,Boutique Agritech,,
home.shop.subtitle,"Équipements, outils et technologies pour moderniser votre agriculture",,
home.shop.view_all,Voir tous les produits,,
home.stats.title,Nos Réalisations,,
home.stats.subtitle,Des chiffres qui témoignent de notre impact positif sur l'agriculture,,
home.stats.farmers,Agriculteurs,,
home.stats.farmers_desc,Agriculteurs accompagnés,,
home.stats.yield,Rendement,,
home.stats.yield_desc,Augmentation des rendements,,
home.stats.cost,Économies,,
home.stats.cost_desc,Réduction des coûts,,
home.stats.experts,Experts,,
home.stats.experts_desc,Agronomes experts,,
home.stats.countries,Pays,,
home.stats.countries_desc,Pays d'intervention,,
home.stats.savings,Économies,,
home.stats.savings_desc,Économies générées,,
shop.cat.all,Tous,,
shop.cat.seeds,Semences,,
shop.cat.fertilizers,Engrais,,
shop.cat.tools,Outils,,
shop.cat.tech,Technologies,,
footer.desc,Révolutionner l'agriculture africaine grâce à des technologies innovantes et durables pour un avenir prospère.,,
form.country,Pays,,
form.select.country,Sélectionnez votre pays,,
common.error,Erreur,Error,
news.meta.title,Actualités - KILIMO Agritech,News - KILIMO Agritech,
news.meta.desc,Restez informé des dernières nouvelles et innovations en agriculture,Stay informed about the latest agricultural news and innovation,
news.hero.alt,Actualités KILIMO,KILIMO News,
news.hero.title1,Actualités,News,
news.hero.title2,& Innovations,& Innovations,
news.hero.desc,"Découvrez les dernières nouvelles, innovations et événements dans le monde de l'agriculture moderne. Restez informé des avancées technologiques qui révolutionnent l'agriculture africaine.","Discover the latest news, innovations and events in modern agriculture. Stay informed about the technologies transforming African agriculture.",
news.badge.daily,Mise à jour quotidienne,Daily update,
news.badge.premium,Contenu premium,Premium content,
news.featured,En vedette,Featured,
news.read_more,Lire plus,Read more,
news.read_time,min de lecture,min read,
news.upcoming,Événements à venir,Upcoming events,
news.event,Événement,Event,
news.more_info,+ d'infos,More info,
news.cat.all,Toutes les catégories,All categories,
news.cat.techniques,Techniques agricoles,Farming techniques,
news.cat.innovation,Innovation,Innovation,
news.cat.formation,Formation,Training,
news.cat.events,Événements,Events,
news.event1.title,Formation sur les techniques agricoles modernes,Training on modern farming techniques,
news.event1.desc,Apprenez les dernières techniques agricoles avec nos experts.,Learn the latest techniques with our experts.,
news.event2.title,Salon de l'agriculture durable,Sustainable agriculture fair,
news.event2.desc,Découvrez les innovations en agriculture durable.,Discover innovations in sustainable agriculture.,
shop.meta.title,Boutique - KILIMO Agritech,Shop - KILIMO Agritech,
shop.meta.desc,Découvrez nos produits agricoles innovants et de qualité,Discover our innovative and quality agricultural products,
shop.hero.alt,Boutique KILIMO,KILIMO Shop,
shop.hero.title1,Boutique,Shop,
shop.hero.title2,AgriTech,AgriTech,
shop.hero.desc,"Découvrez notre sélection de produits innovants pour l'agriculture moderne. Des semences de qualité aux technologies de pointe, tout pour optimiser vos rendements.","Explore our innovative products for modern agriculture. From quality seeds to advanced tech, everything to optimize your yields.",
shop.badge.shipping,Livraison rapide,Fast shipping,
shop.badge.quality,Qualité garantie,Quality assured,
shop.badge.new,Nouveau,New,
shop.badge.best,Populaire,Bestseller,
shop.search,Rechercher un produit...,Search a product...,
shop.added,Produit ajouté,Product added,
shop.added_desc,a été ajouté au panier,has been added to the cart,
shop.add_error,Impossible d'ajouter le produit au panier,Unable to add the product to the cart,
shop.add_to_cart,Ajouter au panier,Add to cart,
shop.out_of_stock,Rupture de stock,Out of stock,
shop.none,Aucun produit trouvé,No product found,
shop.try_adjust,Essayez de modifier vos critères de recherche,Try adjusting your search criteria,
shop.sort.name,Nom A-Z,Name A-Z,
shop.sort.price_low,Prix croissant,Price: Low to High,
shop.sort.price_high,Prix décroissant,Price: High to Low,
shop.sort.rating,Note,Rating,
shop.sort.newest,Plus récents,Newest,
seeds.meta.title,Semences,Seeds,
seeds.meta.desc,Semences certifiées et produits agricoles pour optimiser vos rendements.,Certified seeds and products to optimize your yields.,
seeds.hero.title,Semences & Produits Agricoles,Seeds & Agricultural Products,
seeds.hero.desc,Découvrez notre sélection de semences de qualité et produits agricoles pour optimiser vos rendements et nourrir l'avenir.,Discover our quality seeds and agri products to optimize yields and feed the future.,
seeds.badge.certified,Semences certifiées,Certified seeds,
seeds.badge.quality,Qualité garantie,Quality assured,
seeds.badge.shipping,Livraison rapide,Fast delivery,
seeds.search,Rechercher des semences...,Search seeds...,
seeds.select_category,Sélectionner une catégorie,Select a category,
seeds.cat.all,Toutes catégories,All categories,
seeds.cat.cereales,Céréales,Cereals,
seeds.cat.legumineuses,Légumineuses,Legumes,
seeds.cat.legumes,Légumes,Vegetables,
seeds.cat.fruits,Fruits,Fruits,
seeds.cat.fourrage,Plantes fourragères,Fodder plants,
seeds.cat.aromates,Herbes & Aromates,Herbs & Spices,
seeds.loading,Chargement des semences...,Loading seeds...,
seeds.variety,Variété,Variety,
seeds.harvest,Récolte,Harvest,
seeds.yield,Rendement,Yield,
seeds.features,Caractéristiques,Features,
seeds.per,par,per,
seeds.details,Voir détails,View details,
seeds.details.aria,Voir détails de la semence,View seed details,
seeds.none,Aucun produit trouvé,No products found,
seeds.try_adjust,Essayez de modifier vos critères de recherche,Try adjusting your search criteria,
seeds.error.loading,Nous rencontrons actuellement des difficultés pour charger notre catalogue de semences. Veuillez nous excuser pour ce désagrément et réessayer dans quelques instants.,We are currently experiencing difficulties loading our seed catalog. We apologize for the inconvenience and please try again in a few moments.,
seeds.error.retry,Réessayer,Retry,
elearning.certifying,Certifiant,Certifying,
elearning.free,Gratuit,Free,
elearning.view_program,Voir le programme,View program,
elearning.enroll,S'inscrire,Enroll,
elearning.enrolled,Inscrit,Enrolled,
elearning.students_label,étudiants,students,
elearning.stat.courses,Cours disponibles,Available courses,
elearning.stat.students,Étudiants actifs,Active students,
elearning.stat.satisfaction,Taux de satisfaction,Satisfaction rate,
elearning.stat.access,Accès illimité,Unlimited access,
elearning.hero.badge,Formation Agricole Professionnelle,Professional Agricultural Training,
elearning.preview.badge,Accès gratuit,Free access,
elearning.preview.title,Aperçu Gratuit,Free Preview,
elearning.preview.subtitle,Découvrez gratuitement un échantillon de nos formations avant de vous inscrire.,Discover a free sample of our courses before signing up.,
elearning.preview.video1,Introduction à l'Agriculture Moderne,Introduction to Modern Agriculture,
elearning.preview.video1_desc,Découvrez les fondamentaux de l'agriculture connectée.,Discover the basics of connected agriculture.,
elearning.preview.video2,Les Capteurs IoT au Service des Cultures,IoT Sensors for Crop Monitoring,
elearning.preview.video2_desc,Comment les capteurs révolutionnent le suivi des cultures.,How sensors are revolutionizing crop monitoring.,
elearning.preview.pdf,Guide : Démarrer en AgriTech,Guide: Getting Started with AgriTech,
elearning.preview.pdf_desc,Téléchargez notre guide complet pour débuter.,Download our complete beginner's guide.,
elearning.preview.download,Télécharger,Download,
elearning.preview.watch,Regarder,Watch,
elearning.catalog.title,Catalogue des Formations,Course Catalog,
elearning.catalog.subtitle,Explorez notre catalogue complet de formations certifiantes en agriculture moderne.,Explore our full catalog of certified courses in modern agriculture.,
elearning.enroll_popup.title,Inscription requise,Registration required,
elearning.enroll_popup.desc,Créez un compte gratuit pour accéder aux cours complets.,Create a free account to access full courses.,
elearning.enroll_popup.benefit,"Accès illimité à tous les cours, suivi de progression et certification KILIMO.","Unlimited access to all courses, progress tracking and KILIMO certification.",
elearning.enroll_popup.login,Se connecter,Sign in,
elearning.enroll_popup.signup,Créer un compte,Create account,
elearning.register.required,Le nom et l'email sont requis.,Name and email are required.,
elearning.register.success,Inscription enregistrée !,Registration recorded!,
elearning.register.success_desc,Vous serez contacté avec vos accès sous 24h.,You will be contacted with your access within 24h.,
elearning.register.error,Impossible d'envoyer l'inscription. Réessayez.,Unable to register. Please try again.,
elearning.register.activity,Domaine d'activité,Field of activity,
elearning.register.activity_placeholder,Sélectionnez votre domaine,Select your field,
elearning.register.activity_farmer,Agriculteur,Farmer,
elearning.register.activity_student,Étudiant,Student,
elearning.register.activity_technician,Technicien,Technician,
elearning.register.activity_researcher,Chercheur,Researcher,
elearning.register.activity_other,Autre,Other,
elearning.register.professional_activity,Activité professionnelle,,
elearning.register.professional_activity_placeholder,"Ex: Agronome, Entrepreneur, Maraîcher...",,
elearning.register.organization,Organisation / Entreprise,,
elearning.register.organization_placeholder,Nom de votre structure,,
elearning.register.sector,Secteur d'activité,,
elearning.register.sector_placeholder,"Ex: Élevage, Maraîchage, Pisciculture...",,
elearning.register.experience_level,Niveau d'expérience,,
elearning.register.experience_level_beginner,Débutant,,
elearning.register.experience_level_intermediate,Intermédiaire,,
elearning.register.experience_level_expert,Expert,,
elearning.register.expectations,Vos attentes pour ce cours,,
elearning.register.expectations_placeholder,Quels objectifs souhaitez-vous atteindre ?,,
notfound.meta.title,Page introuvable,Page not found,
notfound.meta.desc,La page que vous recherchez n'existe pas ou a été déplacée.,The page you are looking for does not exist or has been moved.,
notfound.heading,Page introuvable,Page not found,
notfound.desc,"Désolé, la page que vous cherchez n'existe pas, a été déplacée ou retirée.","Sorry, the page you're looking for doesn't exist, was moved, or was removed.",
notfound.cta.home,Retour à l'accueil,Back to home,
notfound.cta.back,Page précédente,Previous page,
